Feature,Coefficient,Absolute Weight
ca,1.1515424960015683,1.1515424960015683
sex,1.1410834030901176,1.1410834030901176
fbs,-0.9242559657312386,0.9242559657312386
exang,0.7612559819392998,0.7612559819392998
cp,0.3838001097436761,0.3838001097436761
oldpeak,0.32093740911003743,0.32093740911003743
slope,0.31904995715691975,0.31904995715691975
thal,0.29917758901492997,0.29917758901492997
restecg,0.2153829366233276,0.2153829366233276
trestbps,0.025634628386035738,0.025634628386035738
thalach,-0.022161274123369473,0.022161274123369473
age,-0.011547054668387504,0.011547054668387504
chol,0.005686913361859208,0.005686913361859208
